Order,Site,RFID Date,LEFT,RIGHT,RFID number,OLD RFID,Sex,Age_TOIC,Notes,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Detected_18_19,Detected_17_18,Detected_16_17,Detected_15_16,Detected_14_15,Detected_April_16,Detected_May_16,Recap_F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15,,,Present_17_18,Present_16_17,Present_15_16,Present_14_15,Nonbreeding_18_19,Breeding_18,Nonbreeding_17_18,Breeding_17,Nonbreeding_16_17,Breeding_16,Nonbreeding_15_16,Breeding_15,Nonbreeding_14_15,Remove_18_19
70,H,42005,Grey/R,R PT,0700ED8660,,M,,,,,BOX 20 H,,N,N,Y,Y,Y,Y-HEAR 3,Y-HEAR 3,,,Y- F4H 11/24/2016; F3H 22/12/2016,,,,,0,1,1,1,0,0,0,0,1,1,1,0,1,N
71,H,42005,LB/R,R PT,0700ED8DFB,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
72,H,42005,LG/R,R PT,0700EE101D,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
73,H,42005,G PT,,011017A7DF,0700EDC61E,M,,Stumpy! Removed PIT tag; new RFID 011017A7DF. Stumpy lives! PIT tag previously removed due to injury; NEW PIT placed on healthy leg and old color bands removed -- Jan 2018,BOX 43-2 H,BOX 21-1 H,BOX 22-1 H,BOX 29 H,Y,Y,Y,Y,Y,Y-HEAR 3,Y-HEAR 3,,F4H 9/8,Y-F4H 11/21/2016; F3H 11/30/2016,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,N
74,H,42005,R PT,Black/R,0700EDBA30,,F,,,,,,BOX 4 H,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
75,H,42005,R PT,Blue/Black,030003315D,,M,,,,,,BOX 38 H,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
76,H,42005,R PT,LB/R,0700ED87E0,,M,,pair w R PT; LG/R? at time of first capture,,,,BOX B5-1,N,N,N,Y,Y,,,,,,Y-F1H 9/11/15; F1H 10/30/15,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
77,H,42005,R PT,LG/R,0700ED9204,,,,pair w R PT; LB/R at time of first capture,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
78,H,42005,R PT,Y/R,030002B8FF,,M,,,BOX 4A H,BOX 7 H,BOX 4 H,,N,Y,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,F2H 9/15; F2H 11/24,,,,,,1,1,1,1,0,1,1,1,1,1,1,0,1,N
79,H,42005,R PT,O/R,0700ED9A1A,,F,,,,,BOX 9A H,,N,N,N,N,N,,,,,,,,,,0,0,1,1,0,0,0,0,0,1,0,0,1,N
80,H,42005,R PT,Grey/R,0300038EB7,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
81,H,42005,R PT,G/R,0300020A3F,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
82,H,42005,R PT,Blue/LB,0700EE1B2F,,M,,,,,,,N,N,N,Y,Y,,,,,,Y - F3H 10/2,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
83,H,42005,R PT,Blue/G,030002DFC6,,F,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
84,H,42005,R PT,Blue/LG,0700EDE992,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
85,H,42005,Y/R,R PT,030003824B,,,,,,,,,N,N,N,Y,Y,,,,,,Y-F4H 11/11,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
86,H,42013,Blue/Black,R PT,0300032182,,F,,,,,,,N,N,Y,Y,Y,,,,,,Y-F4 11/11,,,,0,1,1,1,0,0,0,0,1,0,1,0,1,N
87,H,42013,Blue/G,R PT,0700ED9EB2,,,,,,,,,N,N,N,Y,Y,,,,,,Y-F4H 10/30/15,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
88,H,42013,Blue/LB,R PT,030003ACEE,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
